URL,File Size/Bytes,Number of Links Found,Content-Type 
https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-28865b72953380a40aa43318108876cb.png,3148,0,image/png
https://www.nytimes.com/column/crime,242638,56,text/html
https://www.nytimes.com/section/politics,710982,70,text/html
https://www.nytimes.com/2021/02/18/arts/spawn-comics-todd-mcfarlane.html,215194,43,text/html
https://www.nytimes.com/international/?action=click&region=Footer&pgtype=Homepage,1048576,94,text/html
https://www.nytimes.com/section/magazine,428715,79,text/html
https://www.nytimes.com/2021/02/19/books/best-comedian-memoirs.html,346742,51,text/html
https://www.nytimes.com/es/2021/02/16/espanol/opinion/vacunacion-america-latina.html,334048,61,text/html
https://www.nytimes.com/2021/01/29/opinion/ezra-klein-podcast-paul-krugman.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,57,text/html
https://www.nytimes.com/video/us/100000007210395/philadelphia-police-ban-tear-gas.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/section/health,830645,103,text/html
https://www.nytimes.com/by/dwight-garner,274869,55,text/html
https://www.nytimes.com/es/2021/02/19/espanol/opinion/pablo-hasel-que-hizo.html,297670,54,text/html
https://www.nytimes.com/2021/02/19/style/modern-love-i-wanted-to-love-her-not-save-her.html,379536,51,text/html
https://www.nytimes.com/2021/02/05/opinion/ezra-klein-podcast-yuval-levin.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,62,text/html
https://www.nytimes.com/2021/02/08/business/managing-up-working-from-home.html,297172,43,text/html
https://www.nytimes.com/video/world/middleeast/100000006815692/syria-hospitals-russia.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
https://www.nytimes.com/es/2021/02/05/espanol/tratamientos-covid.html,414987,64,text/html
https://www.nytimes.com/section/technology,503263,84,text/html
https://www.nytimes.com/2021/02/12/opinion/ezra-klein-podcast-adam-jentleson.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,66,text/html
https://www.nytimes.com/section/science,870842,102,text/html
https://www.nytimes.com/2021/02/18/magazine/wednesday-poem.html,289825,38,text/html
https://www.nytimes.com/2021/02/19/nyregion/nyc-indoor-dining.html,394694,66,text/html
https://www.nytimes.com/2021/02/02/opinion/ezra-klein-podcast-zeynep-tufecki.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,63,text/html
https://www.nytimes.com/2021/02/19/opinion/heather-mcghee-racism.html,304058,47,text/html
https://www.nytimes.com/2021/02/13/books/review/zoo-viktor-shklovsky-elsa-triolet-letters-not-about-love.html,243630,40,text/html
https://www.nytimes.com/2021/01/19/opinion/ezra-klein-podcast-trailer.html?action=click&module=audio-series-bar&region=header&pgtype=Article,330159,67,text/html
https://www.nytimes.com/2021/02/19/style/dog-trainers-pandemic-puppies.html,323285,40,text/html
https://www.nytimes.com/video/us/100000007384938/michael-reinoehl-police-shooting.html?playlistId=video%2Finvestigations,1048576,105,text/html
https://www.nytimes.com/2021/02/16/books/review-consent-memoir-vanessa-springora.html,325665,51,text/html
https://www.nytimes.com/es/2021/02/17/espanol/opinion/escuela-covid.html,324832,62,text/html
https://www.nytimes.com/section/realestate,548106,109,text/html
https://www.nytimes.com/by/ezra-klein,278305,55,text/html
https://www.nytimes.com/2021/02/15/travel/cuba-clean-water.html,600877,57,text/html
https://www.nytimes.com/2021/02/19/books/review/new-paperbacks.html,225847,40,text/html
https://www.nytimes.com/2021/02/18/opinion/trump-giuliani-lawsuit-naacp.html,331796,55,text/html
https://www.nytimes.com/es/2021/02/18/espanol/clubhouse-app.html,450553,73,text/html
https://www.nytimes.com/2021/02/09/opinion/ezra-klein-podcast-elizabeth-kolbert.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,60,text/html
https://www.nytimes.com/2021/02/19/books/imbolo-mbue-how-beautiful-we-were.html,330888,53,text/html
https://www.nytimes.com/video/us/100000007198581/rayshard-brooks-killing-garrett-rolfe.html?action=click&module=video-series-bar&region=header&pgtype=Article&playlistId=video%2Finvestigations,1048576,106,text/html
